N_1,K_topics,evenness,shannon_H,run_id,condition,novel_topic_rate
1.324985928777751,2,0.40597703847557115,0.28140183959141857,run01_comb,baseline,0.0
1.0,1,0.0,-0.0,run02_comb,baseline,0.0
1.1215688407065034,3,0.10443034088114196,0.11472845580182224,run03_comb,baseline,0.0
2.3445993032311114,3,0.7756280566534681,0.852114514475265,run04_comb,baseline,0.0
2.0428785888367633,3,0.6502383903364785,0.7143598861874263,run05_comb,baseline,0.0
36.18907943752821,59,0.8801286192200554,3.588757400322815,run01_speciated,speciation,0.9152542372881356
27.88583066440268,56,0.8267895463621554,3.32811869833105,run02_speciated,speciation,0.9107142857142857
35.17304930846337,60,0.8695604609227895,3.5602801447025665,run03_speciated,speciation,0.9
22.97489158800581,52,0.7932697076610471,3.1344019495366378,run04_speciated,speciation,0.9038461538461539
31.460383715716414,61,0.8389284634956257,3.4487290944952416,run05_speciated,speciation,0.9016393442622951
