operator,generation,count,mean,median,std,q25,q75,min,max,pct_lt_0_8
BackTranslation,1,4,0.9176,0.9163,0.0071,0.9121,0.9219,0.9115,0.9264,0.0
BackTranslation,2,1,0.7566,0.7566,,0.7566,0.7566,0.7566,0.7566,1.0
BackTranslation,3,4,0.8569,0.8565,0.0018,0.8561,0.8573,0.8552,0.8595,0.0
BackTranslation,5,4,0.8301,0.8289,0.0246,0.8092,0.8498,0.8084,0.8543,0.0
BackTranslation,6,11,0.8016,0.8082,0.0143,0.7931,0.8119,0.7762,0.817,0.3636
BertMLM,1,10,0.9979,0.9995,0.0041,0.9982,0.9996,0.9865,0.9999,0.0
BertMLM,2,10,0.9971,0.9996,0.0077,0.9991,0.9999,0.9752,1.0,0.0
BertMLM,3,9,0.9985,0.999,0.0019,0.9974,0.9999,0.9946,1.0,0.0
BertMLM,4,10,0.9993,0.9996,0.0009,0.9992,0.9998,0.9971,1.0,0.0
BertMLM,5,20,0.9993,0.9997,0.0014,0.9994,0.9999,0.9934,1.0,0.0
BertMLM,6,48,0.9994,0.9998,0.001,0.9995,0.9999,0.9948,1.0,0.0
InstructionPreservingCrossover,2,10,0.9528,0.9552,0.0146,0.9381,0.9637,0.9362,0.9704,0.0
InstructionPreservingCrossover,3,10,0.9327,0.9323,0.0055,0.93,0.9351,0.9244,0.9439,0.0
InstructionPreservingCrossover,4,11,0.9371,0.936,0.0048,0.934,0.9405,0.9305,0.9445,0.0
InstructionPreservingCrossover,5,23,0.9326,0.9325,0.0063,0.9287,0.937,0.9193,0.9441,0.0
InstructionPreservingCrossover,6,24,0.9358,0.936,0.0059,0.9321,0.9393,0.9246,0.951,0.0
InstructionPreservingCrossover,7,22,0.9349,0.9355,0.0083,0.9271,0.9406,0.9225,0.9502,0.0
LLMBasedParaphrasing,1,4,0.968,0.9691,0.0061,0.965,0.9722,0.9601,0.9738,0.0
LLMBasedParaphrasing,2,4,0.9277,0.9278,0.0105,0.9208,0.9347,0.9159,0.9392,0.0
LLMBasedParaphrasing,3,4,0.941,0.94,0.005,0.9371,0.9439,0.9369,0.9473,0.0
LLMBasedParaphrasing,4,4,0.9328,0.9301,0.0066,0.9293,0.9336,0.9284,0.9425,0.0
LLMBasedParaphrasing,5,8,0.9374,0.9366,0.0049,0.9335,0.9385,0.9329,0.9467,0.0
LLMBasedParaphrasing,6,20,0.9363,0.936,0.0057,0.9326,0.9396,0.9269,0.9479,0.0
OnePointCrossover,2,45,0.9874,0.9912,0.0118,0.9801,0.9963,0.9624,0.9999,0.0
OnePointCrossover,3,3,0.9998,0.9999,0.0001,0.9998,0.9999,0.9997,0.9999,0.0
OnePointCrossover,4,5,0.9995,0.9995,0.0003,0.9992,0.9996,0.9991,1.0,0.0
OnePointCrossover,5,6,0.9992,0.9992,0.0005,0.9991,0.9994,0.9985,0.9999,0.0
OnePointCrossover,6,4,0.9998,0.9999,0.0001,0.9998,0.9999,0.9996,1.0,0.0
OnePointCrossover,7,10,0.9997,0.9998,0.0004,0.9998,0.9999,0.999,1.0,0.0
POSAwareSynonymReplacement,1,10,0.9631,0.9631,0.0005,0.963,0.9634,0.9618,0.9638,0.0
POSAwareSynonymReplacement,2,10,0.9997,0.9998,0.0002,0.9996,0.9999,0.9993,0.9999,0.0
POSAwareSynonymReplacement,3,10,0.9993,0.9997,0.0009,0.9993,0.9998,0.997,1.0,0.0
POSAwareSynonymReplacement,4,10,0.999,0.9995,0.0014,0.9991,0.9997,0.995,0.9998,0.0
POSAwareSynonymReplacement,5,20,0.9994,0.9996,0.0007,0.9994,0.9998,0.9973,0.9999,0.0
POSAwareSynonymReplacement,6,46,0.9988,0.9996,0.0035,0.9992,0.9999,0.9765,1.0,0.0
SemanticSimilarityCrossover,2,10,0.9734,0.975,0.0093,0.9692,0.9812,0.9553,0.9829,0.0
SemanticSimilarityCrossover,3,10,0.9858,0.9859,0.001,0.985,0.9866,0.9841,0.987,0.0
SemanticSimilarityCrossover,4,10,0.9862,0.9864,0.0009,0.9859,0.9869,0.9843,0.9872,0.0
SemanticSimilarityCrossover,5,9,0.9864,0.9869,0.0014,0.9857,0.9873,0.9835,0.9877,0.0
SemanticSimilarityCrossover,6,11,0.9864,0.9872,0.0017,0.9862,0.9873,0.9829,0.9877,0.0
SemanticSimilarityCrossover,7,11,0.9851,0.985,0.0008,0.9845,0.9853,0.9843,0.9871,0.0
